"Num cours","date","thème","outil"
1,18/09/23,"statistique univariée : base","tableur"
2,25/09/23,"statistique univariée : indicateurs",
3,02/10/23,"bivariée : base + contingence",
4,09/10/23,"Khi 2",
5,16/10/23,"régression",
6,23/10/23,"devoir sur table",
7,30/10/23,"CONGES",
8,06/11/23,"initiation R ","R"
9,13/11/23,"initiation R / variance",
10,20/11/23,"multivariée : choix des variables",
11,27/11/23,"multivariée : analyse factorielle et classification",
12,04/12/23,"questions autour du devoir maison. Devoir à rendre le 8 au plus tard.",
13,11/12/23,"rendu du devoir maison et bilan formation",
